"school_id","school_name","address","nearest_park_distance_m"
298,"Grundschule Schwanthalerstraße","Schwanthalerstraße 87",1701.1514137372983
194,"Rabennest","Flurstraße 2",1705.7223070079863
315,"Blindeninstitut München",NULL,1708.7866721361888
119,NULL,NULL,1716.6732915786827
115,"Edith-Stein-Gymnasium",NULL,1720.2551272860746
251,"Georg-Büchner-Realschule","Droste-Hülshoff-Straße 5",1722.7235129933465
385,"Grundschule an der Flurstraße","Flurstraße 4",1730.293276984188
384,"Städtische Adalbert-Stifter-Realschule","Flurstraße 4",1741.1331675467056
104,"Ernst-Barlach Schulen","Barlachstraße 36",1748.422001769906
180,"Städtische Fridtjof-Nansen-Realschule","Ernst-Reuter-Straße 4",1756.0362418382122
190,"Caritas Don Bosco Schulen für Kinderpflege","Auerfeldstraße 19",1759.5644976599315
272,"Mittelschule an der Elisabeth-Kohn-Straße 4",NULL,1772.509792138211
270,"Grund- und Mittelschule an der Implerstraße","Implerstraße 35",1787.3145119871635
392,"Ernst-Reuter Grundschule","Ernst-Reuter-Straße 4",1789.440296478248
336,"Institut für Berufliche Bildung AG","Schwanthalerstraße 75a",1793.6189205466665
135,"Luitpold-Gymnasium","Elektrastraße 61",1793.6649649864914
105,"Schule an der Hirschbergstraße",NULL,1798.4684221940147
176,"Grundschule an der Droste-Hülshoff-Straße","Droste-Hülshoff-Straße 9",1804.4525226111932
199,"Städtisches Willi-Graf-Gymnasium",NULL,1806.7450152998902
372,"Hotelberufsfachschule Kermess",NULL,1807.928102897887
72,"Berufsbildungszentrum für Farbe und Raumgestaltung",NULL,1810.172002717988
355,"Bavarian International School gAG - City Campus","Leopoldstraße 208",1813.4012987924436
283,"Chemieschule Dr. Erwin Elhardt",NULL,1817.3185608695928
250,NULL,NULL,1823.8030144977474
440,"FOS Nord","Freudstraße 15",1825.858338459386
329,"Städtische Fachoberschule für Gestaltung","Ungsteiner Straße 46",1831.1904684048025
403,"Coffe & Art - Die Ermutigungswerkstatt","Volkartstraße 16",1839.0306406920035
28,"Mittelschule München an der Perlacher Straße 114",NULL,1853.2153036895577
353,"Heimerer Schulen","Bayerstraße 73",1855.736453701235
142,"Grundschule mit Tagesheim an der Thelottstraße 20","Thelottstraße 20",1862.361642531328
452,"Willy-Brandt-Gesamtschule","Freudstraße 15",1866.3662948687534
48,"Grund- und Mittelschule an der Knappertsbuschstraße","Knappertsbuschstraße 43",1869.0413853181387
124,"Grundschule an der Bad-Soden-Straße 27",NULL,1873.6827047857118
230,"Theresien-Gymnasium",NULL,1876.706730546981
281,"Kompetenzzentrum für Erziehungsberufe München Mitte",NULL,1877.8269030526822
179,"Grundschule an der Werdenfelsstraße",NULL,1878.1474450514825
